,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
256,"frozenset({'Mint Sauce', 'Plain Papadum'})","frozenset({'Pilau Rice', 'Mango Chutney'})",0.080838994,0.073523923,0.023214152,0.287165282,3.905739368,0.017270552,1.299706724
189,"frozenset({'Plain Papadum', 'Plain Naan'})",frozenset({'Mint Sauce'}),0.084795103,0.109203553,0.024333806,0.286971831,2.627861668,0.01507388,1.249314523
114,frozenset({'Onion Chutney'}),frozenset({'Onion Bhajee'}),0.077032171,0.179219228,0.022094499,0.286821705,1.60039583,0.008288852,1.150877387
173,"frozenset({'Mint Sauce', 'Plain Papadum'})",frozenset({'Red Sauce'}),0.080838994,0.049637979,0.023139509,0.286241921,5.766590993,0.019126825,1.331490387
204,frozenset({'Mint Sauce'}),"frozenset({'Plain Papadum', 'Onion Chutney'})",0.109203553,0.058296634,0.031126372,0.285030759,4.889317637,0.024760172,1.317124307
113,frozenset({'Meat Samosa'}),frozenset({'Onion Bhajee'}),0.088975144,0.179219228,0.025229529,0.283557047,1.582179824,0.009283472,1.145633115
32,frozenset({'Mango Chutney'}),frozenset({'Onion Chutney'}),0.154437561,0.077032171,0.043666492,0.282745288,3.670483157,0.031769832,1.286806225
155,"frozenset({'Pilau Rice', 'Onion Bhajee'})",frozenset({'Mango Chutney'}),0.079420766,0.154437561,0.022243786,0.280075188,1.8135173,0.009978237,1.174514929
224,"frozenset({'Plain Papadum', 'Plain Naan'})",frozenset({'Plain Rice'}),0.084795103,0.176830634,0.023736657,0.279929577,1.5830378,0.008742286,1.143178973
153,frozenset({'Onion Chutney'}),"frozenset({'Pilau Rice', 'Mango Chutney'})",0.077032171,0.073523923,0.021348063,0.277131783,3.7692736,0.015684356,1.281666637
238,"frozenset({'Plain Papadum', 'Pilau Rice'})",frozenset({'Chicken Tikka Masala'}),0.133238785,0.15921475,0.036873927,0.2767507,1.738222753,0.015660347,1.162510978
271,frozenset({'Onion Chutney'}),"frozenset({'Mint Sauce', 'Plain Papadum', 'Mango Chutney'})",0.077032171,0.046502948,0.021049489,0.273255814,5.876096532,0.017467266,1.312011943
206,"frozenset({'Mint Sauce', 'Plain Papadum'})",frozenset({'Onion Bhajee'}),0.080838994,0.179219228,0.022019855,0.272391505,1.519878798,0.007531953,1.128052761
96,frozenset({'Peshwari Naan'}),frozenset({'Onion Bhajee'}),0.114577891,0.179219228,0.031126372,0.271661238,1.515804083,0.01059181,1.126921722
76,frozenset({'Garlic Naan'}),frozenset({'Plain Papadum'}),0.19616332,0.268418303,0.053146227,0.270928463,1.009351673,0.000492401,1.003442954
